Por que você sai da cama todos os dias?
//Kesley Ferreira Alves: Porque eu tenho objetivos e metas e sair da cama é parte do processo pra alcançar << 23 >>

//Rhyan de Souza Pisoni: Ser alguém na vida << 1 >>

//Yuri Boppre da Silva: Para me tornar alguém que me orgulhe futuramente << 1 >>

//Artini Scarabelot: Para mudar o mundo. << 107 >>

//Guilherme Bortolotto Peritto: Por que não tem home office hibrido! << 3 >>

//Kesley Ferreira Alves: Porque eu tenho objetivos e tenho que acordar pra concretizá-los << 8 >>

//Yuri Boppre da Silva: Para me tornar alguém que eu possa me orgulhar futuramente << 14 >>

//Kesley Ferreira Alves: Pra concretizar objetivos << 9 >>

//João Vitor Fernandes Canuto: Pois tenho que garantir o ganha pão todos os dias! << 1 >>

//Willi Villi Viana: Porque a necessidade de buscar um futuro melhor me faz continuar lutando todos os dias. << 208 >>

//Henrique Pereira: Correr atrás de sonhos e objetivos de vida. << 24 >>

//Amanda Topanotti Zanette: Porque é a vida << 11 >>

//Guilherme Bortolotto Peritto: Por que atualmente não possuimos home office hibrido... << 1 >>

//Kesley Ferreira Alves: bah de novo essa pergunta << 14 >>

//KatriniAlamar: Porque cada dia um novo recomeço, um novo desafio, uma nova oportunidade de ser feliz. E é isso que eu quero << 1 >>

//LUTHIERI DE AGUIAR ELIAS: Pra fazer diferença na vida das pessoas. << 30 >>

//EDSON LUIZ DAMAZIO JUNIOR: Para usufruir do privilégio que é estar vivo. << 40 >>

//Alessandro Nunes dos Santos Junior: Tentar mudar as coisas, cada dia novos desafios. Novas lutas, trabalho, treino, alimentação, foco, crescimento pessoal no geral! << 5 >>

//Bernardo Schmitz dos Santos: Porque não sairia? << 2 >>

//Renan Coral de Oliveira: Para dar uma condição melhor para minha família. << 21 >>

//Davi Freitas da Silva: Para ter a oportunidade de alcançar meus objetivos e sonhos. << 1 >>

//Ericka Willeman Orben: Porque 'a vida é bonita e é bonita'. << 10 >>

//Doglas Elias Mateus: Para correr atrás dos sonhos. << 10 >>

//Kesley Ferreira Alves: Pra concretizar meus objetivos << 10 >>

//Kesley Ferreira Alves: Concretizar objetivos << 3 >>

//Gustavo Valente: Tentar conquistar o mundo :D << 2 >>

//Kesley Ferreira Alves: Para concretizar meus objetivos << 80 >>

//Gabriel Bruch Mandelli: Não consigo levar ela comigo :( << 4 >>

//ANDREIA MEDEIROS MENDES: Porque a cada manhã é uma nova oportunidade , uma nova chance que Deus nos deu de ser uma pessoa melhor, de ir em busca dos nosso sonhos e realização pessoal , profissional.   << 1 >>

//Carlos Marcelo Carpes: Porque é bom viver << 29 >>

//Gustavo Valente: Para bater mais uma meta << 1 >>

//Luiz Gustavo Uggioni Savi: Principalmente para aproveitar a vida ao máximo! Por isso acordo sempre as 6:00 para fazer exercícios e ir na academia. Gosto de acordar cedo, principalmente no verão. << 47 >>

//Tiago Pereira dos Santos: Sou obrigado a trabalhar. << 37 >>

//Ana Paula Monteiro Morona: Faço de tudo para sair pois minha cama tem comigo uma relação muito tóxica, quer sempre me puxar pra perto dela! << 4 >>

//Ezequiel Dela Vedova de Matos: Para trabalhar e tentar ser alguém melhor. << 1 >>

//Tiago Pereira dos Santos: ............................. << 5 >>

//João Vitor Fernandes Canuto: Pq sim caras ora bolas! << 4 >>

//Tiago Pereira dos Santos: .............................klçç << 49 >>

//Juca da Silva: pra não ficar na cama o dia todo << 3 >>

//Vitor Ramos da Silveira: Pra buscar mudar o mundo, começando comigo, com gesto simples, sendo humilde e sempre pensando no próximo, quem sabe o próximo consiga ver nossas ações pro bem e tente fazer o mesmo :) . << 2 >>

